n_min,n_max,tokens,tok_s
1,1,10,6.84
1,2,10,8.94
1,3,10,9.78
1,4,10,10.63
1,5,10,10.84
1,6,10,9.36
1,7,10,9.31
1,8,10,12.13
1,9,10,9.93
1,10,10,12.44
1,11,10,12.67
1,12,10,9.64
1,13,10,12.78
1,14,10,9.93
1,15,10,10.98
1,16,10,10.86
2,2,10,10.91
2,3,10,12.51
2,4,10,9.46
2,5,10,9.46
2,6,10,9.19
2,7,10,9.56
2,8,10,9.92
2,9,10,9.36
2,10,10,11.37
2,11,10,9.45
2,12,10,10.01
2,13,10,12.3
2,14,10,12.15
2,15,10,11.93
2,16,10,12.2
3,3,10,9.62
3,4,10,12.34
3,5,10,11.95
3,6,10,9.73
3,7,10,12.6
3,8,10,9.59
3,9,10,9.71
3,10,10,9.63
3,11,10,9.52
3,12,10,9.55
3,13,10,10.79
3,14,10,10.72
3,15,10,10.55
3,16,10,10.48
4,4,10,10.36
4,5,10,9.04
4,6,10,9.73
4,7,10,9.94
4,8,10,11.47
4,9,10,9.29
4,10,10,11.74
4,11,10,8.89
4,12,10,8.74
4,13,10,10.18
4,14,10,9.09
4,15,10,9.1
4,16,10,10.3
5,5,10,11.27
5,6,10,9.06
5,7,10,11.53
5,8,10,11.66
5,9,10,9.18
5,10,10,11.66
5,11,10,11.89
5,12,10,11.76
5,13,10,9.65
5,14,10,9.68
5,15,10,12.42
5,16,10,10.61
6,6,10,12.03
6,7,10,9.87
6,8,10,10.81
6,9,10,9.98
6,10,10,11.96
6,11,10,9.39
6,12,10,10.6
6,13,10,9.59
6,14,10,9.5
6,15,10,9.6
6,16,10,10.89
7,7,10,10.92
7,8,10,9.89
7,9,10,9.79
7,10,10,10.89
7,11,10,9.81
7,12,10,9.38
7,13,10,10.84
7,14,10,10.98
7,15,10,9.86
7,16,10,9.9
8,8,10,9.73
8,9,10,10.0
8,10,10,9.77
8,11,10,11.87
8,12,10,12.33
8,13,10,11.1
8,14,10,9.77
8,15,10,9.84
8,16,10,9.91
9,9,10,10.83
9,10,10,9.72
9,11,10,9.95
9,12,10,9.78
9,13,10,9.93
9,14,10,10.92
9,15,10,12.84
9,16,10,9.94
10,10,10,10.95
10,11,10,11.01
10,12,10,9.98
10,13,10,9.92
10,14,10,12.41
10,15,10,9.74
10,16,10,9.93
11,11,10,10.77
11,12,10,9.53
11,13,10,9.75
11,14,10,10.72
11,15,10,12.51
11,16,10,9.76
12,12,10,12.7
12,13,10,9.98
12,14,10,9.99
12,15,10,11.2
12,16,10,10.76
13,13,10,9.96
13,14,10,10.01
13,15,10,10.02
13,16,10,10.08
14,14,10,9.78
14,15,10,9.92
14,16,10,9.81
15,15,10,11.27
15,16,10,9.93
16,16,10,12.55
