n_min,n_max,tokens,tok_s
1,1,256,23.21
1,2,256,24.16
1,3,256,26.88
1,4,256,26.18
1,5,256,21.98
1,6,256,25.31
1,7,256,23.32
1,8,256,24.3
1,9,256,22.91
1,10,256,24.01
1,11,256,24.3
1,12,256,26.29
1,13,256,23.45
1,14,256,23.49
1,15,256,23.98
1,16,256,25.47
2,2,256,24.36
2,3,256,23.53
2,4,256,24.05
2,5,256,24.5
2,6,256,25.83
2,7,256,24.2
2,8,256,23.66
2,9,256,24.8
2,10,256,23.68
2,11,256,24.15
2,12,256,22.84
2,13,256,22.01
2,14,256,22.99
2,15,256,23.7
2,16,256,24.23
3,3,256,23.19
3,4,256,24.82
3,5,256,23.65
3,6,256,21.86
3,7,256,21.11
3,8,256,21.99
3,9,256,22.28
3,10,256,24.98
3,11,256,26.11
3,12,256,26.25
3,13,256,24.56
3,14,256,24.11
3,15,256,23.39
3,16,256,23.98
4,4,256,22.65
4,5,256,24.21
4,6,256,24.83
4,7,256,24.53
4,8,256,25.47
4,9,256,24.58
4,10,256,25.83
4,11,256,25.26
4,12,256,23.63
4,13,256,25.83
4,14,256,28.53
4,15,256,24.87
4,16,256,24.6
5,5,256,21.72
5,6,256,27.74
5,7,256,22.99
5,8,256,25.84
5,9,256,26.35
5,10,256,22.28
5,11,256,23.96
5,12,256,23.95
5,13,256,24.81
5,14,256,27.59
5,15,256,23.6
5,16,256,23.34
6,6,256,24.02
6,7,256,23.0
6,8,256,25.69
6,9,256,26.94
6,10,256,6.23
6,11,256,22.12
6,12,256,26.18
6,13,256,24.97
6,14,256,23.94
6,15,256,23.12
6,16,256,24.77
7,7,256,27.14
7,8,256,26.96
7,9,256,27.26
7,10,256,25.0
7,11,256,25.55
7,12,256,22.09
7,13,256,24.62
7,14,256,27.05
7,15,256,24.51
7,16,256,24.63
8,8,256,24.79
8,9,256,25.11
8,10,256,21.45
8,11,256,25.04
8,12,256,25.41
8,13,256,23.99
8,14,256,25.31
8,15,256,23.68
8,16,256,23.67
9,9,256,22.23
9,10,256,25.67
9,11,256,25.17
9,12,256,27.25
9,13,256,22.7
9,14,256,23.05
9,15,256,27.26
9,16,256,26.31
10,10,256,26.72
10,11,256,24.54
10,12,256,27.34
10,13,256,26.2
10,14,256,24.52
10,15,256,24.04
10,16,256,25.1
11,11,256,25.52
11,12,256,26.44
11,13,256,23.26
11,14,256,22.11
11,15,256,26.47
11,16,256,24.84
12,12,256,24.25
12,13,256,25.31
12,14,256,22.48
12,15,256,25.92
12,16,256,23.01
13,13,256,22.46
13,14,256,24.04
13,15,256,24.12
13,16,256,20.61
14,14,256,22.09
14,15,256,26.18
14,16,256,24.18
15,15,256,24.41
15,16,256,23.32
16,16,256,17.96
