n_min,n_max,tokens,tok_s
1,1,256,24.3
1,2,256,25.08
1,3,256,24.62
1,4,256,24.91
1,5,256,24.03
1,6,256,25.66
1,7,256,27.8
1,8,256,22.48
1,9,256,27.01
1,10,256,23.08
1,11,256,28.68
1,12,256,25.74
1,13,256,24.94
1,14,256,25.73
1,15,256,26.69
1,16,256,24.08
2,2,256,25.4
2,3,256,26.56
2,4,256,23.32
2,5,256,25.89
2,6,256,26.09
2,7,256,25.39
2,8,256,27.13
2,9,256,23.84
2,10,256,23.98
2,11,256,24.7
2,12,256,26.78
2,13,256,25.38
2,14,256,25.03
2,15,256,23.31
2,16,256,25.69
3,3,256,24.11
3,4,256,23.81
3,5,256,22.51
3,6,256,25.07
3,7,256,20.16
3,8,256,21.25
3,9,256,25.19
3,10,256,25.43
3,11,256,24.41
3,12,256,25.3
3,13,256,23.09
3,14,256,27.0
3,15,256,23.42
3,16,256,23.17
4,4,256,24.55
4,5,256,26.19
4,6,256,22.68
10,16,256,23.03
11,11,256,13.35
4,7,256,27.57
4,8,256,25.68
4,9,256,25.08
4,10,256,24.74
4,11,256,24.74
4,12,256,24.64
4,13,256,26.56
4,14,256,25.11
4,15,256,22.34
4,16,256,24.93
5,5,256,26.93
5,6,256,25.1
5,7,256,23.89
5,8,256,28.01
5,9,256,26.36
5,10,256,24.78
5,11,256,23.74
5,12,256,27.42
5,13,256,23.47
5,14,256,26.1
5,15,256,25.35
5,16,256,25.49
6,6,256,24.87
6,7,256,24.17
6,8,256,29.02
6,9,256,27.3
6,10,256,25.95
6,11,256,24.84
6,12,256,25.61
6,13,256,24.05
6,14,256,27.92
6,15,256,25.12
6,16,256,23.63
7,7,256,25.1
7,8,256,26.46
7,9,256,23.52
7,10,256,24.88
7,11,256,25.0
7,12,256,25.81
7,13,256,24.52
7,14,256,24.23
7,15,256,25.47
7,16,256,25.57
8,8,256,25.4
8,9,256,23.07
8,10,256,22.79
8,11,256,24.25
8,12,256,25.6
8,13,256,26.49
8,14,256,24.18
8,15,256,22.2
8,16,256,27.63
9,9,256,24.7
9,10,256,25.21
9,11,256,27.48
9,12,256,22.41
9,13,256,26.08
9,14,256,26.47
9,15,256,25.06
9,16,256,25.99
10,10,256,27.05
10,11,256,24.41
10,12,256,26.68
10,13,256,25.0
10,14,256,24.83
10,15,256,23.85
11,12,256,23.47
11,13,256,25.57
11,14,256,26.19
11,15,256,25.96
11,16,256,24.56
12,12,256,24.0
12,13,256,24.65
12,14,256,25.05
12,15,256,26.72
12,16,256,26.99
13,13,256,25.35
13,14,256,25.22
13,15,256,27.44
13,16,256,25.27
14,14,256,26.59
14,15,256,26.3
14,16,256,23.99
15,15,256,24.79
15,16,256,23.59
16,16,256,17.92
