n_max,p_min,batch,ubatch,decode_tok_s,prompt_tok_s,gen_tokens,vram_mb,quality_pass,quality_fail,status
1,0,256,128,0,0,0,0,0,3,fail
1,0.1,256,128,0,0,0,0,0,3,fail
1,0.2,256,128,0,0,0,0,0,3,fail
1,0.3,256,128,26.642,56.46,256,23069,2,1,ok
1,0.4,256,128,28.957,48.232,256,23075,1,2,ok
1,0.5,256,128,29.895,74.203,256,23037,1,2,ok
1,0.6,256,128,28.08,59.948,256,23045,1,2,ok
1,0.7,256,128,0,0,0,0,0,3,fail
1,0.8,256,128,27.618,61.987,256,23104,1,2,ok
1,0.9,256,128,27.368,75.871,256,23093,1,2,ok
1,1,256,128,23.074,64.893,256,23122,3,0,ok
2,0,256,128,0,0,0,0,0,3,fail
2,0.1,256,128,0,0,0,0,0,3,fail
2,0.2,256,128,0,0,0,0,0,3,fail
2,0.3,256,128,29.259,65.197,256,23185,2,1,ok
2,0.4,256,128,29.116,73.143,256,23202,1,2,ok
2,0.5,256,128,27.704,73.06,256,23215,1,2,ok
2,0.6,256,128,30.016,76.081,256,23250,1,2,ok
2,0.7,256,128,26.992,71.993,256,23265,1,2,ok
2,0.8,256,128,27.531,74.56,256,23274,1,2,ok
2,0.9,256,128,28.171,74.694,256,23295,1,2,ok
2,1,256,128,23.543,67.689,256,23297,2,1,ok
3,0,256,128,0,0,0,0,0,3,fail
3,0.1,256,128,24.47,58.682,256,23336,1,2,ok
3,0.2,256,128,0,0,0,0,0,3,fail
3,0.3,256,128,28.941,74.541,256,23383,1,2,ok
3,0.4,256,128,29.976,67.899,256,23401,2,1,ok
3,0.5,256,128,27.709,59.381,256,23412,1,2,ok
3,0.6,256,128,31.515,73.696,256,23461,1,2,ok
3,0.7,256,128,28.421,67.024,256,23465,2,1,ok
3,0.8,256,128,27.839,60.888,256,23474,1,2,ok
3,0.9,256,128,28.858,65.164,256,23502,2,1,ok
3,1,256,128,0,0,0,0,0,1,fail
4,0,256,128,24.937,59.083,256,23535,1,2,ok
4,0.1,256,128,0,0,0,0,0,3,fail
4,0.2,256,128,28.584,61.228,256,23590,1,2,ok
4,0.3,256,128,28.744,60.78,256,23597,1,2,ok
4,0.4,256,128,28.367,59.485,256,23637,2,1,ok
4,0.5,256,128,30.474,61.369,256,23632,2,1,ok
4,0.6,256,128,30.451,61.206,256,23654,1,2,ok
4,0.7,256,128,29.463,75.967,256,23709,1,2,ok
4,0.8,256,128,26.823,74.596,29,23718,1,2,ok
4,0.9,256,128,0,0,0,0,0,3,fail
4,1,256,128,22.611,66.281,256,23755,2,1,ok
