n_min,n_max,pass1,pass2,pass3,avg
6,8,17.23375209543156,18.998823205257082,19.096392958687023,18.44298941979189
1,11,18.460431193567818,22.41675442758019,20.12074721463026,20.332644278592756
5,8,17.497103712311564,18.6663004364236,19.131706036973625,18.431703395236266
6,14,15.946979376281003,18.839090919171465,19.077019903572857,17.954363399675106
1,7,18.670592630249306,20.562890386693677,22.57240049316367,20.60196117003555
8,16,17.26875158656607,19.348035417508466,19.236181947378935,18.617656317151155
4,7,17.040423445566688,19.365488591525704,19.24844437324831,18.551452136780235
9,11,17.222427593716542,19.33333410157101,19.28879006565945,18.61485058698233
13,15,17.562326640728802,19.51160812782282,19.449591022025782,18.841175263525802
5,12,17.52726919426477,19.21132304947629,18.770616788546512,18.503069677429192
