batch_size,ubatch_size,prompt_tok_s,decode_tok_s,prompt_ms,predicted_ms,prompt_tokens,gen_tokens,vram_mb_used,status
256,64,102.696,31.939,0,8030.7,0,256,22431,ok
256,128,98.938,32.876,0,7808.6,0,256,22519,ok
256,256,105.008,31.65,0,8102.5,0,256,22724,ok
512,64,107.104,32.339,0,7918.2,0,256,22408,ok
512,128,100.389,32.11,0,7991.2,0,256,22524,ok
512,256,96.888,29.902,0,8570.8,0,256,22730,ok
512,512,98.62,31.739,0,8068.7,0,256,23123,ok
1024,64,100.582,31.405,0,8171,0,256,22401,ok
1024,128,101.816,29.555,0,8667.7,0,256,22524,ok
1024,256,102.142,29.982,0,8541.1,0,256,22724,ok
1024,512,101.834,32.213,0,7954.7,0,256,23111,ok
1024,1024,101.687,30.955,0,8342.7,0,256,23948,ok
2048,64,87.076,30.644,0,8357.9,0,256,22398,ok
2048,128,98.251,31.459,0,8152.1,0,256,22527,ok
2048,256,100.613,30.236,0,8493.9,0,256,22726,ok
2048,512,102.134,29.508,0,8685.3,0,256,23130,ok
2048,1024,96.105,29.318,0,8746.4,0,256,23960,ok
2048,2048,95.464,30.468,0,8419,0,256,23985,ok
